instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/450_USA-road-d.BAY.gr,branch_and_cut,32288.4,29076.7,500.065,14014,511,26141,326,568,[269;160;105;84;136;287;393;433;445;239;60;375;422;382],1,855,2.36726
data/processed/450_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/450_USA-road-d.NY.gr,branch_and_cut,47080.7,47080.7,24.2379,7271,312,39921,310,355,[279;149;120;54;24;2;3;26;108;240;353;335;239;151;269;346;354;431],1,62,0.102444
data/processed/500_USA-road-d.BAY.gr,branch_and_cut,38097.9,38097.9,96.5193,12279,444,28156,293,626,[466;269;284;105;84;136;287;393;358;224;371;250;481],1,168,0.579708
data/processed/500_USA-road-d.COL.gr,branch_and_cut,39653.8,33777.7,500.026,50010,394,31128,392,510,[83;71;49;15;6;1;4;25;113;192;161;260;389],1,172,0.54332
data/processed/500_USA-road-d.NY.gr,branch_and_cut,48093.4,48093.4,7.34021,1082,405,39721,349,414,[463;461;434;313;239;361;439;407;108;26;3;2;24;54;120;490;393;458;488],1,113,0.195859
data/processed/550_USA-road-d.BAY.gr,branch_and_cut,22317.2,21361.8,500.103,26200,617,17628,587,642,[413;426;74;89;151;1;6;32;92;86;136;381;512;537],1,319,1.37515
data/processed/550_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/550_USA-road-d.NY.gr,branch_and_cut,47814.4,46252.5,500.05,19649,411,39721,369,441,[463;461;434;547;302;335;439;336;108;26;453;2;24;54;120;281;393;280;488],1,1187,2.32397
data/processed/600_USA-road-d.BAY.gr,branch_and_cut,54388.1,29969.8,500.044,32662,397,43311,296,651,[269;160;274;146;293;286;373;493;531;358;224;360;250;279;534;589;382;588],1,159,0.808743
data/processed/600_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/600_USA-road-d.NY.gr,branch_and_cut,47814.4,45629.1,500.211,15100,434,39721,393,467,[463;461;434;436;239;361;353;240;108;26;19;2;24;54;120;281;393;458;488],1,1199,2.66061
data/processed/60_USA-road-d.BAY.gr,branch_and_cut,10633.3,10633.3,0.043398,11,83,8604,71,85,[21;15;4;10;44;59],1,11,0.00142
data/processed/60_USA-road-d.COL.gr,branch_and_cut,23914.2,23914.2,0.132145,44,182,16904,110,186,[53;52;56;58;51;44;17;42;27;60],1,16,0.002262
data/processed/60_USA-road-d.NY.gr,branch_and_cut,31775.8,31775.8,0.043497,59,64,21205,58,73,[39;41;11;16;47;59;56],1,19,0.001694
data/processed/650_USA-road-d.BAY.gr,branch_and_cut,34849.9,29923.1,500.067,40755,600,28651,468,661,[269;440;105;84;355;493;531;511;339;510;60;223;249;382;588],1,122,0.687424
data/processed/650_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/650_USA-road-d.NY.gr,branch_and_cut,43329,43329,27.0966,4121,427,36723,425,551,[576;385;382;287;151;239;324;360;240;108;26;3;2;24;54;120;256;349;478;621],1,64,0.235252
data/processed/700_USA-road-d.BAY.gr,branch_and_cut,48015.3,44713.1,500.059,25389,385,38281,383,785,[664;534;279;250;109;224;358;393;287;136;84;105;160;269;466;524;677],1,177,1.09365
data/processed/700_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/700_USA-road-d.NY.gr,branch_and_cut,43329,43329.1,123.349,12278,465,36723,463,562,[576;385;382;287;151;239;324;360;240;108;26;3;2;24;54;120;256;349;478;621],1,106,0.458383
data/processed/750_USA-road-d.BAY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/750_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/750_USA-road-d.NY.gr,branch_and_cut,43624.9,43395.5,500.057,29758,593,35956,521,613,[621;478;349;256;120;273;24;2;3;26;108;325;581;640;359;713;712;691;707],1,695,2.40969
data/processed/800_USA-road-d.BAY.gr,branch_and_cut,40198.4,35773.3,500.085,26968,616,33047,419,794,[588;567;394;120;60;109;224;358;393;287;136;286;767;748;766],1,178,1.15344
data/processed/800_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/800_USA-road-d.NY.gr,branch_and_cut,43624.9,40449.5,500.049,33765,562,35956,506,622,[621;478;620;256;321;54;24;2;3;26;108;240;360;324;239;655;712;758;707],1,291,1.24309
data/processed/80_USA-road-d.BAY.gr,branch_and_cut,10857.1,10857.1,0.220927,182,123,8818,105,123,[59;44;10;11;25;41;74],1,21,0.003991
data/processed/80_USA-road-d.COL.gr,branch_and_cut,14277.5,14277.5,0.072218,14,101,10892,81,103,[46;12;10;14;69;71;78;76],1,10,0.00136
data/processed/80_USA-road-d.NY.gr,branch_and_cut,31775.8,31775.8,0.093026,87,77,21205,71,85,[39;60;7;16;47;59;56],1,24,0.002977
data/processed/850_USA-road-d.BAY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/850_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/850_USA-road-d.NY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/900_USA-road-d.BAY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/900_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/900_USA-road-d.NY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/950_USA-road-d.BAY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/950_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/950_USA-road-d.NY.gr,branch_and_cut,,,,,,,,,,,,
