instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/750_USA-road-d.COL.gr,plans_coupants,39653.8,33478.2,507.81,268,595,31128,593,795,[83;743;286;685;11;132;453;527;113;192;161;260;389],1,39,0.13999
data/processed/750_USA-road-d.NY.gr,plans_coupants,43624.9,41712.7,529.229,4058,575,35956,503,613,[621;478;349;348;120;273;523;198;306;71;108;240;581;444;320;713;712;691;707],1,72,0.154674
data/processed/800_USA-road-d.BAY.gr,plans_coupants,40198.4,37495.4,517.88,5673,661,33047,434,794,[588;642;394;633;212;321;497;511;531;794;565;508;767;748;766],1,50,0.164403
data/processed/800_USA-road-d.COL.gr,plans_coupants,39653.8,33478.2,501.345,601,634,31128,632,821,[83;280;773;123;6;18;145;336;113;192;161;260;389],1,35,0.140575
data/processed/800_USA-road-d.NY.gr,plans_coupants,43624.9,40863.8,503.26,3439,570,35956,514,622,[621;478;349;348;120;402;675;18;33;415;723;696;581;714;239;784;712;691;707],1,69,0.158123
data/processed/80_USA-road-d.BAY.gr,plans_coupants,10857.1,10857.1,2.17473,80,123,8818,105,123,[59;44;10;11;38;66;74],1,11,0.00128
data/processed/80_USA-road-d.COL.gr,plans_coupants,14277.5,14277.5,0.841658,0,101,10892,81,103,[46;12;10;14;69;71;78;76],1,7,0.000652
data/processed/80_USA-road-d.NY.gr,plans_coupants,31775.8,31775.8,2.20461,259,76,21205,70,85,[39;15;17;16;47;59;56],1,21,0.00215
data/processed/850_USA-road-d.BAY.gr,plans_coupants,42201.1,39071.4,540.862,1890,605,35151,427,906,[659;656;642;345;113;487;815;553;850;424;731;383;716;817;698;786],1,52,0.19611
data/processed/850_USA-road-d.COL.gr,plans_coupants,29904.8,26810.9,508.405,0,724,24068,722,906,[213;396;468;199;644;15;585;261;367;368;493;543;576;666],1,64,0.274033
data/processed/850_USA-road-d.NY.gr,plans_coupants,43329.0,43329.1,395.384,787,558,36723,556,649,[576;385;382;376;151;239;324;360;396;447;26;162;782;821;790;120;256;349;478;621],1,47,0.123742
data/processed/900_USA-road-d.BAY.gr,plans_coupants,54274.2,50401.0,517.187,11850,537,45383,535,969,[820;616;789;630;540;580;216;224;600;331;577;516;335;346;167;430;712;432;844;854],1,47,0.116658
data/processed/900_USA-road-d.COL.gr,plans_coupants,29904.8,26810.9,501.788,1720,760,24068,758,969,[213;396;468;385;50;811;99;574;809;512;557;543;576;666],1,68,0.188376
data/processed/900_USA-road-d.NY.gr,plans_coupants,43329.0,43329.1,346.141,1526,588,36723,586,701,[576;595;689;513;752;496;640;581;582;838;888;521;899;555;845;829;799;773;478;621],1,55,0.092936
data/processed/950_USA-road-d.BAY.gr,plans_coupants,54274.2,50547.9,501.273,1137,577,45383,575,974,[820;616;629;579;540;475;354;936;670;438;424;731;412;162;390;609;811;654;844;854],1,55,0.147929
data/processed/950_USA-road-d.COL.gr,plans_coupants,29904.8,26810.9,511.316,41,798,24068,796,1024,[213;312;906;121;50;714;674;551;118;745;557;543;576;666],1,70,0.235803
data/processed/950_USA-road-d.NY.gr,plans_coupants,43329.0,43329.1,407.011,1584,629,36723,627,737,[576;707;689;708;942;651;923;360;325;641;766;813;886;795;845;792;799;349;759;621],1,56,0.112752
