instance,method,objective,unproved_lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path
data/processed/60_USA-road-d.COL.gr,heuristics,23914.2,23914.2,0.006889,0,182,16904,110,186,[53;52;56;58;51;44;33;42;27;60;60]
data/processed/60_USA-road-d.NY.gr,heuristics,31775.8,16299.1,0.018606,0,66,21205,60,73,[39;60;7;16;47;44;56;56]
data/processed/650_USA-road-d.BAY.gr,heuristics,34634.2,42097.6,0.982463,0,482,28617,410,661,[269;284;289;280;611;586;393;433;570;550;257;432;587;567;588;588]
data/processed/650_USA-road-d.COL.gr,heuristics,39911.2,37163.6,0.376875,0,513,31274,511,667,[83;84;605;495;43;648;629;621;584;602;608;601;389;389]
data/processed/650_USA-road-d.NY.gr,heuristics,43841.3,43841.3,0.009197,0,401,36248,399,551,[576;454;455;443;359;640;581;325;447;388;19;2;555;54;212;256;349;478;621;621]
data/processed/700_USA-road-d.BAY.gr,heuristics,49188.9,49188.9,0.00833,0,352,39284,350,785,[664;646;514;367;450;446;358;531;381;418;423;253;284;551;674;524;677;677]
data/processed/700_USA-road-d.COL.gr,heuristics,39911.2,37163.6,0.455343,0,541,31274,539,741,[83;84;490;9;6;1;114;621;584;602;608;601;389;389]
data/processed/700_USA-road-d.NY.gr,heuristics,43841.3,43841.3,0.00926,0,431,36248,429,562,[576;454;330;443;651;444;581;325;280;388;19;2;555;54;435;256;349;478;621;621]
data/processed/750_USA-road-d.BAY.gr,heuristics,49188.9,49188.9,0.009089,0,388,39284,386,795,[664;646;514;367;450;536;358;393;381;355;735;164;260;733;674;600;677;677]
data/processed/750_USA-road-d.COL.gr,heuristics,39911.2,37163.6,0.515164,0,586,31274,584,795,[83;84;490;28;744;34;741;728;735;738;733;601;389;389]
data/processed/750_USA-road-d.NY.gr,heuristics,43624.9,43624.9,0.029678,0,546,35956,478,613,[621;646;620;348;212;313;577;95;408;71;723;696;715;444;320;443;578;691;707;707]
data/processed/800_USA-road-d.BAY.gr,heuristics,48081.1,44552.1,0.642733,0,368,38919,291,794,[588;569;589;534;480;367;786;536;795;765;381;418;777;479;796;766;766]
data/processed/800_USA-road-d.COL.gr,heuristics,40845.5,37163.6,0.483893,0,511,32154,509,821,[83;431;489;282;784;778;101;707;796;59;641;733;352;389;389]
data/processed/800_USA-road-d.NY.gr,heuristics,43624.9,43624.9,0.035433,0,564,35956,508,622,[621;646;620;619;212;402;555;69;397;388;108;696;581;640;496;713;712;691;707;707]
data/processed/80_USA-road-d.BAY.gr,heuristics,12880.3,10857.1,0.047431,0,120,10457,101,123,[59;79;16;4;15;66;74;74]
data/processed/80_USA-road-d.COL.gr,heuristics,22378.5,14390,0.022419,0,73,14719,53,103,[46;65;64;60;69;71;78;76;76]
data/processed/80_USA-road-d.NY.gr,heuristics,31775.8,16299.1,0.025142,0,77,21205,71,85,[39;41;7;66;47;44;56;56]
data/processed/850_USA-road-d.BAY.gr,heuristics,42707,42707,0.011259,0,511,35346,397,906,[659;598;630;721;333;785;459;670;438;424;731;165;395;817;698;786;786]
data/processed/850_USA-road-d.COL.gr,heuristics,29904.8,29904.8,0.079958,0,724,24068,722,906,[213;212;836;499;256;299;11;109;20;667;711;319;576;666;666]
data/processed/850_USA-road-d.NY.gr,heuristics,43841.3,43841.3,0.011242,0,516,36248,514,649,[576;454;658;323;651;324;581;325;641;415;19;2;795;845;435;348;349;478;621;621]
data/processed/900_USA-road-d.BAY.gr,heuristics,61420.2,61420.2,0.564347,0,947,51940,945,969,[820;659;656;818;787;821;880;268;280;322;125;749;624;730;422;335;602;807;839;779;637;690;853;868;854;854]
data/processed/900_USA-road-d.COL.gr,heuristics,29904.8,29904.8,0.090066,0,760,24068,758,969,[213;212;836;499;256;264;11;58;852;745;117;724;576;666;666]
data/processed/900_USA-road-d.NY.gr,heuristics,43841.3,43841.3,0.017115,0,546,36248,544,701,[576;454;330;655;651;324;581;325;280;588;191;522;24;54;120;256;349;478;621;621]
data/processed/950_USA-road-d.BAY.gr,heuristics,57297.6,57297.6,0.066833,0,873,47516,871,974,[820;799;925;332;628;522;175;661;44;901;939;808;713;130;140;239;811;654;844;854;854]
data/processed/950_USA-road-d.COL.gr,heuristics,29904.8,29904.8,0.10048,0,798,24068,796,1024,[213;212;268;405;945;135;886;8;852;858;711;319;576;666;666]
data/processed/950_USA-road-d.NY.gr,heuristics,43841.3,43841.3,0.018633,0,588,36248,586,737,[576;454;330;938;695;923;916;325;906;388;183;431;24;790;652;348;349;478;621;621]
