instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/600_USA-road-d.BAY.gr,dualized,34634.2,34634.2,47.3693,6170.0,557.0,28617.0,412.0,651.0,[269;284;105;209;290;586;531;433;535;478;212;240;587;567;588],,,
data/processed/600_USA-road-d.COL.gr,dualized,39224.0,39224.0,15.7414,310,454,31690,452,605,[83;567;45;552;46;86;41;1;453;527;317;261;211;352;389],1.0,0.0,0.0
data/processed/600_USA-road-d.NY.gr,dualized,47814.4,47814.4,46.5596,10969.0,437.0,39721.0,396.0,467.0,[463;461;549;313;568;361;353;240;363;109;243;69;197;402;586;281;393;458;488],,,
data/processed/60_USA-road-d.BAY.gr,dualized,10633.3,10633.3,0.120502,0.0,83.0,8604.0,71.0,85.0,[21;39;42;34;44;59],,,
data/processed/60_USA-road-d.COL.gr,dualized,23914.2,23914.2,0.106321,0.0,183.0,16904.0,111.0,186.0,[53;52;56;58;51;44;43;28;27;60],,,
data/processed/60_USA-road-d.NY.gr,dualized,31775.8,31775.8,0.105401,0.0,65.0,21205.0,59.0,73.0,[39;60;7;46;47;59;56],,,
data/processed/650_USA-road-d.BAY.gr,dualized,34634.2,34634.2,98.5068,6361.0,482.0,28617.0,410.0,661.0,[269;608;591;623;191;493;393;540;497;215;625;240;587;642;588],,,
data/processed/650_USA-road-d.COL.gr,dualized,39224.0,39224.0,26.6495,677.0,508.0,31690.0,506.0,667.0,[83;84;311;65;85;582;16;34;616;621;317;301;281;601;389],,,
data/processed/650_USA-road-d.NY.gr,dualized,43329.1,43329.1,7.59624,100.0,427.0,36723.0,425.0,551.0,[576;385;382;539;456;320;444;360;396;392;415;128;106;105;313;120;348;620;478;621],,,
data/processed/700_USA-road-d.BAY.gr,dualized,46226.9,46226.9,15.1068,147.0,428.0,38291.0,426.0,785.0,[664;669;630;615;625;109;570;540;531;586;611;184;428;608;488;674;524;677],,,
data/processed/700_USA-road-d.COL.gr,dualized,39224.0,39224.0,27.3188,216,534,31690,532,741,[83;167;45;312;581;699;10;619;453;527;222;192;346;352;389],1.0,0.0,0.0
data/processed/700_USA-road-d.NY.gr,dualized,43329.1,43329.1,9.03714,73.0,465.0,36723.0,463.0,562.0,[576;595;382;513;151;496;324;581;396;641;26;3;50;62;402;435;348;349;646;621],,,
data/processed/750_USA-road-d.BAY.gr,dualized,46226.9,46227.0,17.5359,220,465,38291,463,795,[664;534;663;267;661;109;445;433;393;493;418;698;741;160;733;674;734;677],1.0,0.0,0.0
data/processed/750_USA-road-d.COL.gr,dualized,39224.0,39224.0,42.0448,302.0,576.0,31690.0,574.0,795.0,[83;480;64;65;581;86;87;121;68;134;584;301;161;601;389],,,
data/processed/750_USA-road-d.NY.gr,dualized,43624.9,43624.9,63.5445,12146,578,35956,506,613,[621;646;349;348;740;313;709;522;84;281;641;240;715;324;695;713;578;691;707],1.0,0.0,0.0
data/processed/800_USA-road-d.BAY.gr,dualized,40198.4,40198.4,65.5006,6568.0,706.0,33047.0,449.0,794.0,[588;567;394;432;492;510;782;433;531;381;355;508;479;748;766],,,
data/processed/800_USA-road-d.COL.gr,dualized,39224.0,39224.0,45.0854,120.0,607.0,31690.0,605.0,821.0,[83;167;45;650;85;283;2;766;199;728;113;301;161;260;389],,,
data/processed/800_USA-road-d.NY.gr,dualized,43624.9,43624.9,88.6577,15741,568,35956,512,622,[621;478;349;348;268;313;555;198;587;26;108;396;581;324;695;443;578;758;707],1.0,0.0,0.0
data/processed/80_USA-road-d.BAY.gr,dualized,10857.1,10857.1,0.281433,0.0,123.0,8818.0,105.0,123.0,[59;44;10;30;65;66;74],,,
data/processed/80_USA-road-d.COL.gr,dualized,14277.5,14277.5,0.221404,0.0,101.0,10892.0,81.0,103.0,[46;55;10;14;69;71;78;76],,,
