instance,PR_inf,PR_sup,objective_plans_coupants,gap_plans_coupants,objective_dualized,gap_dualized,objective_heuristic,gap_heuristic
data/processed/900_USA-road-d.NY.gr,19.54,19.53,43329.0,0.0,43329.1,0.0,43841.3,1.18
data/processed/950_USA-road-d.COL.gr,23.29,23.29,29904.8,0.78,29672.8,0.0,29904.8,0.78
data/processed/950_USA-road-d.BAY.gr,19.52,19.52,54274.2,0.06,54240.2,0.0,57297.6,5.64
data/processed/950_USA-road-d.NY.gr,19.54,19.53,43329.0,0.0,43329.1,0.0,43841.3,1.18
data/processed/1000_USA-road-d.BAY.gr,20.27,20.27,48250.0,0.0,48250.0,0.0,48738.7,1.01
data/processed/1000_USA-road-d.COL.gr,23.29,23.29,29904.8,0.78,29672.8,0.0,29904.8,0.78
data/processed/1000_USA-road-d.NY.gr,19.54,19.53,43329.0,0.0,43329.1,0.0,43841.3,1.18
data/processed/1100_USA-road-d.BAY.gr,29.67,29.67,1000000000.0,100.0,70226.3,0.0,83140.0,18.39
data/processed/1100_USA-road-d.COL.gr,9.95,25.51,42766.5,14.15,42766.5,14.15,42766.5,14.15
data/processed/1100_USA-road-d.NY.gr,42.01,42.02,1000000000.0,100.0,70089.2,0.01,71656.2,2.25
data/processed/1200_USA-road-d.NY.gr,21.78,21.78,72566.0,0.0,72566.0,0.0,72566.0,0.0
data/processed/1200_USA-road-d.BAY.gr,22.94,22.94,1000000000.0,100.0,76338.2,0.0,76338.2,0.0
data/processed/1200_USA-road-d.COL.gr,9.89,25.51,42766.5,14.21,42766.5,14.21,42766.5,14.21
data/processed/1300_USA-road-d.COL.gr,11.48,30.13,42505.7,16.73,42505.7,16.73,42505.7,16.73
data/processed/1300_USA-road-d.NY.gr,22.21,22.21,67883.9,0.0,67883.9,0.0,67883.9,0.0
data/processed/1300_USA-road-d.BAY.gr,27.03,27.03,1000000000.0,100.0,76715.8,0.0,77217.7,0.65
data/processed/1400_USA-road-d.COL.gr,16.25,30.13,42505.7,11.94,42505.7,11.94,42505.7,11.94
data/processed/1400_USA-road-d.BAY.gr,18.14,18.14,1000000000.0,100.0,79995.3,0.0,79995.3,0.0
data/processed/1400_USA-road-d.NY.gr,22.34,22.34,67883.9,0.0,67883.9,0.0,67883.9,0.0
data/processed/1500_USA-road-d.BAY.gr,12.75,18.15,1000000000.0,100.0,79379.7,4.79,79379.7,4.79
data/processed/1500_USA-road-d.COL.gr,10.85,30.13,42505.7,17.39,42505.7,17.39,42505.7,17.39
data/processed/1500_USA-road-d.NY.gr,23.3,23.3,66475.5,0.0,66475.5,0.0,66475.5,0.0
data/processed/1600_USA-road-d.BAY.gr,11.75,17.22,1000000000.0,100.0,81809.7,4.89,81914.4,5.03
data/processed/1600_USA-road-d.COL.gr,7.24,24.74,42505.7,16.32,42505.7,16.32,42505.7,16.32
data/processed/1600_USA-road-d.NY.gr,23.43,23.43,66475.5,0.0,66475.5,0.0,66475.5,0.0
data/processed/1700_USA-road-d.BAY.gr,13.75,20.81,1000000000.0,100.0,70557.8,6.2,70557.8,6.2
data/processed/1700_USA-road-d.NY.gr,23.43,23.43,66475.5,0.0,66475.5,0.0,66475.5,0.0
data/processed/1700_USA-road-d.COL.gr,5.18,30.13,1000000000.0,100.0,42505.7,23.73,42505.7,23.73
data/processed/1800_USA-road-d.COL.gr,5.21,24.74,1000000000.0,100.0,42505.7,18.56,42505.7,18.56
data/processed/1800_USA-road-d.NY.gr,22.33,22.33,69098.3,0.0,69098.3,0.0,69098.3,0.0
data/processed/1800_USA-road-d.BAY.gr,10.03,20.07,1000000000.0,100.0,72086.6,9.12,72511.8,9.77
data/processed/1900_USA-road-d.COL.gr,5.82,24.74,42505.7,17.88,42505.7,17.88,42505.7,17.88
data/processed/1900_USA-road-d.NY.gr,22.33,22.33,69098.3,0.0,69098.2,0.0,69098.3,0.0
data/processed/1900_USA-road-d.BAY.gr,15.73,18.6,1000000000.0,100.0,76729.6,2.48,77036.7,2.89
data/processed/2000_USA-road-d.BAY.gr,19.1,19.58,1000000000.0,100.0,67604.0,0.4,67604.0,0.4
data/processed/2000_USA-road-d.COL.gr,5.65,24.28,50172.5,20.4,49019.1,17.64,49019.1,17.64
data/processed/2000_USA-road-d.NY.gr,27.27,35.52,1000000000.0,100.0,66853.3,6.48,66853.3,6.48
data/processed/2100_USA-road-d.BAY.gr,12.01,18.85,1000000000.0,100.0,72250.2,6.11,72250.2,6.11
data/processed/2100_USA-road-d.COL.gr,0.36,23.7,43998.7,23.26,43998.7,23.26,43998.7,23.26
data/processed/2100_USA-road-d.NY.gr,98.42,98.42,123257.0,0.0,123257.0,0.0,123989.0,0.59
data/processed/2200_USA-road-d.BAY.gr,11.65,17.74,1000000000.0,100.0,80585.3,5.46,80585.3,5.46
data/processed/2200_USA-road-d.COL.gr,7.74,24.56,1000000000.0,100.0,48962.9,15.61,48962.9,15.61
data/processed/2200_USA-road-d.NY.gr,7.8,35.09,1000000000.0,100.0,72476.8,25.32,123989.0,100.0
data/processed/2300_USA-road-d.COL.gr,1.69,22.96,50172.5,20.92,50172.5,20.92,50172.5,20.92
data/processed/2300_USA-road-d.BAY.gr,13.6,17.26,1000000000.0,100.0,77192.1,3.22,104070.0,39.17
data/processed/2300_USA-road-d.NY.gr,55.47,100.0,1000000000.0,100.0,123257.0,47.78,123257.0,47.78
data/processed/2400_USA-road-d.BAY.gr,12.66,18.18,1000000000.0,100.0,77192.1,4.9,77192.1,4.9
data/processed/2400_USA-road-d.COL.gr,6.81,24.28,1000000000.0,100.0,50172.5,19.09,49019.1,16.35
data/processed/2400_USA-road-d.NY.gr,18.34,18.34,1000000000.0,100.0,71974.3,0.0,76784.1,6.68
data/processed/2500_USA-road-d.BAY.gr,11.17,19.15,1000000000.0,100.0,73897.1,7.18,73974.2,7.29
data/processed/2500_USA-road-d.NY.gr,18.08,18.34,1000000000.0,100.0,71974.3,0.22,76784.1,6.92
data/processed/2500_USA-road-d.COL.gr,5.43,22.0,1000000000.0,100.0,54468.6,30.15,48427.8,15.72
